Symbol,Name,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
BDX,Becton Dickinson,71.56,72.25,71.09,72.21,1.55,2.19,1489048,80.56,63.41,1.48,2.05,13.99,-8.43
BDC,Belden,26.12,26.89,25.94,26.87,1.41,5.54,123609,31.51,15.13,0.2,0.74,62.49,22.58
BLC,Belo Series A,7.13,7.38,7.03,7.37,0.47,6.81,850591,9.45,1.68,0.3,,,35.48
BMS,Bemis,28.67,29.17,28.56,29.14,0.97,3.44,1155057,31.8,23.41,0.92,3.16,22.77,-1.72
BHE,Benchmark Electronics,18.68,19.05,18.43,19.03,0.86,4.73,360957,22.82,11.5,,,19.62,0.63
WRB,W.R. Berkley,26.78,27.38,26.62,27.36,0.96,3.64,1116413,28.12,20.82,0.28,1.02,10.06,11.04
BRKA,Berkshire Hathaway Cl A,106950,110068,106866,109625,4550,4.33,1030,140710.59,84600,,,12.97,10.51
BRKB,Berkshire Hathaway Cl B,71.09,73.42,71.09,73.35,3.03,4.31,6530381,83.57,54.66,,,,11.61
BRY,Berry Petroleum Cl A,29.61,31.25,29.61,31.24,2.23,7.69,602539,34.31,14.9,0.3,,40.05,7.17
BBY,Best Buy,41.62,42.29,40.93,42.24,1.68,4.14,8013988,48.83,31.25,0.56,1.33,13.67,7.05
BIG,Big Lots,37,37.44,34.42,36.04,0.17,0.47,4623962,41.42,19.49,,,14.83,24.36
BH,Biglari Holdings,300,303.71,299,300.25,4.24,1.43,18213,418,150.2,,,23.62,-7.36
BMR,BioMed Realty Trust,16.35,17.17,16.16,17.12,1.21,7.61,1943649,19.5,9.16,0.56,3.27,63.41,8.49
BIO,Bio-Rad Laboratories Cl A,91.04,95.1,90.93,94.94,4.56,5.05,85854,125.01,68.9,,,17.78,-1.58
BIOB,Bio-Rad Laboratories Cl B,93.17,94.18,93.17,94.18,4,4.44,200,112.94,69.34,,,,-3.76
BVF,Biovail,15.06,15.17,14.89,14.9,0.04,0.27,1657803,17.28,11.59,0.38,2.55,17.74,6.73
BKH,Black Hills,28.6,28.7,28.24,28.54,0.63,2.26,213631,34.49,20.28,1.44,5.05,11.74,7.17
BLK,BlackRock,168.64,172.48,166.35,172.39,8.35,5.09,725202,243.8,148.5,4,2.32,23.58,-25.76
BX,Blackstone Group,11.11,11.18,10.75,11.02,0.22,2.04,3065500,17.22,8.54,1.2,10.89,,-16.01
HRB,H&R Block,16.07,16.25,15.98,16.24,0.39,2.46,2070424,23.23,14,0.6,3.69,10.61,-28.21
BBI,Blockbuster Cl A,0.32,0.34,0.32,0.33,0.05,18.57,6421085,1.56,0.24,,,,-50.45
BBIB,Blockbuster Cl B,0.24,0.25,0.21,0.22,0.01,4.76,1078268,0.89,0.18,,,,-62.71
BLT,Blount International,10.8,10.88,10.61,10.88,0.33,3.13,118909,11.89,7.93,,,17.27,7.72
BSI,Blue Square-Israel ADS,11.5,11.74,11.5,11.5,-0.16,-1.37,1100,15.12,7.44,0.47,,23.96,17.23
BXG,Bluegreen,4.75,4.88,4.75,4.87,0.27,5.87,65578,6.3,2.15,,,,101.24
BXC,BlueLinx Holdings,3.66,3.85,3.6,3.83,0.27,7.58,62638,6.32,2.51,,,,38.27
BTH,BLYTH,50.39,51.57,49.81,51.51,2.52,5.14,52211,59.93,25.91,0.2,0.39,26.02,58.02
BWP,Boardwalk Pipeline Partners,28.34,28.55,27.88,27.99,0.09,0.32,418101,31.44,14.49,1.99,7.11,26.16,-6.79
BA,Boeing,64.86,65.23,63.91,65.13,1.87,2.96,7443391,76,38.92,1.68,2.58,39.47,20.32
BZ,Boise Inc.,5.75,6.11,5.62,6.11,0.57,10.29,2353267,7.44,1.31,,,3.66,15.07
BZ%,Boise Inc. WT,0.45,0.59,0.45,0.51,0.05,10.87,388540,1.03,0.07,,,,-17.74
BGP,Borders Group,2.39,2.41,2.06,2.14,-0.15,-6.55,3280334,4.48,0.85,,,,81.36
BWA,BorgWarner,36.82,38.13,36.82,38.06,2.14,5.96,1629767,44.55,27.62,,,41.82,14.57
SAM,Boston Beer Cl A,62.99,63.87,62.48,63.6,2.15,3.5,150101,63.87,27.43,,,25.44,36.48
BXP,Boston Properties,75.55,78.23,74.9,78.12,4.28,5.8,1830005,83.42,42.62,2,2.56,44.64,16.48
BSX,Boston Scientific,6.14,6.2,6.01,6.2,0.16,2.65,16716375,11.77,5.91,,,,-31.11
BNE,Bowne,11.02,11.1,11,11.06,0.05,0.45,543812,11.33,5.21,0.22,1.99,,65.57
BYD,Boyd Gaming,12.94,13.25,12.8,13.25,0.77,6.17,1436390,14.85,6.93,,,44.17,58.3
BRC,Brady Cl A,29.31,29.8,28.96,29.76,1.12,3.91,263458,35.37,23,0.7,2.35,19.84,-0.83
BDN,Brandywine Realty Trust,11.2,11.7,11.02,11.64,0.78,7.18,1907598,13.57,6.11,0.6,5.15,,2.11
BTMC,Brasil Telecom ADS,7.55,7.82,7.55,7.82,0.37,4.97,432868,17.85,7.1,,,,-51.09
BTM,Brasil Telecom ADS,17.77,18.1,17.74,18.09,0.6,3.43,114139,34.45,16,0.18,,,-37.9
BAK,Braskem ADS,11.22,11.72,11.22,11.68,0.56,5.04,152101,17.86,6.65,0.02,0.17,2.54,-28.82
BPI,Bridgepoint Education,22.16,22.38,21.35,21.47,-0.31,-1.42,985898,27.5,11.86,,,17.74,42.94
BGG,Briggs&Stratton,21.1,21.51,20.95,21.49,0.83,4.02,457711,24.26,12.89,0.44,2.05,45.72,14.86
EAT,Brinker International,17.65,17.97,17.5,17.97,0.6,3.45,631471,21.12,12.39,0.56,3.12,16.64,20.44
BCO,Brink's,22.88,23.04,22.59,22.75,0.23,1.02,498555,30.66,21.92,0.4,1.76,6.56,-6.53
BMY,Bristol-Myers Squibb,23.07,23.35,23.01,23.34,0.62,2.73,10734863,27.07,19.12,1.28,5.48,13.49,-7.56
BRS,Bristow Group,32.14,32.58,31.67,32.4,1.04,3.32,238574,41.06,26.39,,,10.45,-15.73
BR,Broadridge Financial Solutions,19.1,19.28,18.88,19.28,0.46,2.44,1496311,24.02,15.19,0.56,2.9,12.13,-14.54
BKD,Brookdale Senior Living,18.01,18.41,17.89,18.29,0.64,3.63,1335396,22.21,8.39,,,,0.55
BAM,Brookfield Asset Management Cl A,23.73,24.4,23.66,24.23,0.98,4.22,952265,26.39,15.38,0.52,2.15,34.61,9.24
BHS,Brookfield Homes,10.34,10.88,10.1,10.86,0.87,8.71,69656,11.98,3.19,,,,35.75
BIP,Brookfield Infrastructure Partners,15.39,15.62,15.39,15.54,0.41,2.71,123866,18.66,11.3,1.1,,35.32,-7.33
BPO,Brookfield Properties,14.2,14.75,14.11,14.68,0.88,6.38,4914631,16.73,6.78,0.56,3.81,5.76,21.12
BRO,Brown&Brown,19.34,19.76,19.19,19.73,0.64,3.35,1033022,20.31,16.32,0.31,1.57,19.16,9.79
BFA,Brown-Forman Cl A,56,57.55,56,57.3,1.42,2.54,5725,63.65,44,1.2,2.09,,1.7
BFB,Brown-Forman Cl B,55,56.53,54.95,56.45,2,3.67,384465,60.44,41.45,1.2,2.13,18.45,5.38
BWS,Brown Shoe,17.33,17.33,15.93,16.93,0.42,2.54,680596,19.96,6.39,0.28,1.65,80.62,71.53
BC,Brunswick,18.24,18.5,17.45,18.01,0.48,2.74,2751706,22.89,3.49,0.05,0.28,,41.7
BW,Brush Engineered Materials,25.05,26.12,24.97,26.08,1.67,6.84,115829,30.33,14.11,,,217.33,40.67
BT,BT Group ADS,17.92,18.32,17.8,18.32,1.19,6.95,86660,25.26,13.69,1.04,5.68,9.39,-15.73
BGH,Buckeye GP Holdings,30.73,31.11,30.66,30.77,0.63,2.09,25098,35.14,18,1.6,5.2,17.19,7.44
BPL,Buckeye Partners,56.34,57.08,56.14,56.86,1.2,2.16,105283,62.39,39.86,3.8,6.68,35.1,4.43
BKI,Buckeye Technologies,12.21,12.6,12,12.59,0.74,6.24,118550,15.33,4.29,,,3.24,29
BKE,Buckle Inc.,35.22,36.18,34.65,36.07,1.48,4.28,240301,40.35,24.25,0.8,,12.97,23.19
BVN,Compania de Minas Buenaventura ADS,35.58,35.94,34.24,35.9,1.18,3.4,843687,42.69,20.81,0.44,1.23,27.83,7.26
BBW,Build-A-Bear Workshop,8.25,8.5,7.97,8.47,0.4,4.96,143798,9.76,4.12,,,,73.21
BG,Bunge,49.06,49.68,48.61,49.39,1.43,2.98,1286451,74.04,45.36,0.92,1.86,12.38,-22.62
BKC,Burger King Holdings,18.74,19.08,18.6,19.04,0.53,2.86,950509,22.19,15.61,0.25,1.31,13.31,1.17
BWY,BWAY Holding,20.06,20.11,19.92,19.97,0.04,0.2,189527,20.97,13.02,,,21.24,3.9
CACI,CACI International Cl A,46.41,46.69,46.12,46.62,0.84,1.83,212753,52.92,37.98,,,13.67,-4.56
CAP,CAI International,13.93,14.49,13.85,14.49,1,7.41,84288,15.35,4.48,,,20.7,60.47
CHP,C&D Technologies,0.96,1.14,0.91,0.91,-0.04,-4.25,347144,3.12,0.91,,,,-41.29
CBD,Companhia Brasileira de Distribuicao Grupo Pao de Acucar ADS,60.65,62.05,60.25,61.98,3.68,6.31,285659,79.16,35.07,0.09,0.15,28.96,-17.49
CBZ,CBIZ Inc,6.68,6.68,6.54,6.66,0.1,1.52,81795,7.84,6.09,,,13.88,-13.51
CBL,CBL&Associates Properties,14.05,14.82,13.94,14.67,1.19,8.83,3640514,16.59,4.1,0.8,5.45,,51.71
CBG,CB Richard Ellis Group Cl A,15.46,16.39,15.31,16.35,1.31,8.71,5075945,17.98,6.49,,,81.75,20.49
CBSA,CBS Cl A,14.5,14.86,14.5,14.81,0.64,4.52,21338,16.94,5.69,0.2,1.35,,5.26
CBS,CBS Cl B,14.58,14.87,14.46,14.85,0.69,4.87,11553928,16.98,5.65,0.2,1.35,40.14,5.69
CDI,CDI,15.72,16.03,15.25,16.02,0.75,4.91,73313,18.65,9.66,0.52,3.25,,23.71
CEC,CEC Entertainment,39.42,39.78,39.26,39.66,0.89,2.3,152599,41.79,24.69,,,14.58,24.25
CF,CF Industries Holdings,67.83,70.27,67.15,70.26,3.83,5.77,2303972,110,63.8,0.4,0.57,11.59,-22.6
GIB,CGI Group Cl A,15.16,15.73,15.15,15.73,0.71,4.73,250403,16.38,8.25,,,13.92,16
CHG,CH Energy Group (Holding),39.89,39.94,39.01,39.31,0.17,0.43,76020,51.32,38.2,2.16,5.49,20.26,-7.55
CI,CIGNA,33.19,33.71,32.72,33.68,1.25,3.85,2387289,39.26,19.85,0.04,0.12,6.76,-4.51
CIT,CIT Group,37.34,37.72,36.47,37.24,0.64,1.75,2184188,42.94,24.83,,,24.66,34.88
CKR,CKE Restaurants,12.36,12.36,12.28,12.36,0.07,0.57,891923,12.9,8,0.24,,14.21,46.1
CMS,CMS Energy,14.72,14.87,14.49,14.71,0.2,1.38,3395511,16.67,10.92,0.6,4.08,16.72,-6.07
CNA,CNA Financial,24.69,25.93,24.64,25.9,1.75,7.25,312934,29.53,13.63,,,9.38,7.92
SUR,CNA Surety,16.47,16.93,16.22,16.92,0.85,5.29,94306,18.12,12.8,,,6.38,13.63
CNH,CNH Global,25.31,26.31,24.79,26.25,1.78,7.27,264063,33.45,11.51,,,,5.08
CNO,CNO Financial Group,5.39,5.78,5.34,5.76,0.57,10.98,3834278,7.04,1.68,,,13.09,15.2
CEO,CNOOC ADS,156,160.75,155.11,160.63,9.98,6.62,410734,182.13,110.91,5.16,3.21,16.66,3.33
CPL,CPFL Energia ADS,61.12,61.6,60.44,61.11,0.82,1.36,133635,66.49,45.75,4.25,,12.52,-1.08
CPY,CPI,28.22,28.96,28,28.91,1.89,6.99,54126,32.5,9.75,1,3.46,14.75,135.42
CRH,CRH ADS,22.76,23.67,22.66,23.66,1.77,8.09,164426,30.53,20.9,0.86,3.63,19.39,-13.43
CSS,CSS Industries,18.72,19.38,18.58,19.37,1.04,5.67,20635,27.28,16.09,0.6,3.1,,-0.36
CSX,CSX,51.59,52.66,50.97,52.62,1.8,3.54,4217437,62,28.13,0.96,1.82,17.37,8.52
CTS,CTS,10.62,10.94,10.45,10.92,0.61,5.92,218682,11.84,5.39,0.12,1.1,68.25,13.51
CVI,CVR Energy,7.51,7.71,7.46,7.65,0.28,3.8,131967,13.89,6.21,,,25.5,11.52
CAB,Cabela's,16.33,17,16.3,16.96,0.89,5.54,535693,21.52,10.67,,,21.74,18.93
CVC,Cablevision Systems,24.83,25.05,24.65,25.05,0.67,2.75,1837113,27.79,14.06,0.5,2,21.97,17.52
CBT,Cabot,27.73,28,27.49,27.84,0.8,2.96,651465,34,11.41,0.72,2.59,37.62,6.14
COG,Cabot Oil&Gas,33.16,34.81,33.16,34.81,2.4,7.41,2269857,46.46,27.26,0.12,0.34,26.17,-20.14
CAE,CAE,9.06,9.24,9.03,9.11,0.22,2.47,32597,10.42,5.5,0.12,,16.56,10.69
DVR,Cal Dive International,5.52,5.69,5.5,5.6,0.21,3.9,850177,11.75,5.01,,,12.17,-25.93
CCC,Calgon Carbon,14.97,15.28,14.7,15.28,0.6,4.09,467710,18.35,10.93,,,20.65,9.93
CWT,California Water Service Group,35.87,36.15,35.59,36.14,0.64,1.8,123638,40.65,33.79,1.19,3.29,18.73,-1.85
CALX,Calix,11.67,12.06,11.58,11.89,0.49,4.3,84190,18,9.66,,,,
ELY,Callaway Golf,8.13,8.39,8.13,8.39,0.46,5.8,791247,10.19,4.66,0.04,0.48,,11.27
CPE,Callon Petroleum,5.94,5.97,5.7,5.97,0.36,6.42,747001,8.8,1.36,,,2.58,298
CPN,Calpine,13.82,14.04,13.71,13.87,0.32,2.36,5930361,14.95,9.85,,,81.59,26.09
CBM,Cambrex,4.35,4.42,4.21,4.32,0.07,1.65,63360,7.22,3.46,,,17.28,-22.58
CPT,Camden Property Trust,45.32,46.1,44.8,45.85,1.72,3.9,1542089,51.76,24.5,1.8,3.93,,8.21
CCJ,Cameco,24.31,24.6,24.21,24.6,0.76,3.19,2145874,33.74,22.41,0.28,,8.4,-23.53
CAM,Cameron International,37.75,38.37,36.93,38.08,2,5.54,7036467,47.44,24.63,,,18.76,-8.9
CPB,Campbell Soup,35.34,35.94,35.2,35.93,1.05,3.01,3469727,36.42,27.47,1.1,3.06,15.62,6.3
CM,Canadian Imperial Bank of Commerce,70.2,70.53,68.35,68.66,-1.72,-2.44,548903,77.3,46.42,3.48,,18.66,6.25
CNI,Canadian National Railway,57.76,58.28,57.41,57.92,1.11,1.95,1307489,63.86,37.91,1.08,,14.37,6.55
CNQ,Canadian Natural Resources,66.88,69.51,66.88,69.4,4.14,6.34,2730247,80.23,45.03,0.6,,35.77,-3.54
CP,Canadian Pacific Railway,54.21,55,53.97,54.99,1.91,3.6,618584,61.38,32.92,1.08,,16.13,1.83
CAJ,Canon ADS,40.69,41.44,40.46,41.42,1.87,4.73,496182,47.54,31.24,0.58,,28.18,-2.13
CMN,Cantel Medical,17.04,17.68,16.58,17.62,0.91,5.45,190453,21.85,12.89,0.1,,15.06,-12.69
COF%,Capital One Financia Wt,16.46,16.85,16.39,16.74,1.1,7.03,20200,19.97,11.9,,,,27.11
COF,Capital One Financial,41.29,42.28,41.07,42.21,1.9,4.71,4279671,47.73,19.73,0.2,0.47,15.18,10.09
CSU,Capital Senior Living,4.67,5.26,4.65,5.17,0.64,14.13,77546,6.49,3.62,,,57.44,2.99
CT,Capital Trust Cl A,1.74,1.85,1.67,1.84,0.18,10.84,381546,3.8,1.06,,,,44.88
CSE,CapitalSource,4.48,4.61,4.44,4.6,0.19,4.31,4325576,6.32,2.99,0.04,0.87,,15.87
CBC,Capitol Bancorp,1.86,1.89,1.81,1.86,0.06,3.33,88467,6.06,1.55,0.2,,,-5.1
LSE,CapLease,5.07,5.26,4.96,5.2,0.26,5.26,217482,6.3,2.62,0.24,4.62,,18.72
CMO,Capstead Mortgage,11.14,11.22,11,11.22,0.27,2.47,1210751,15.75,8.12,2.18,19.43,6.76,-17.8
CRR,Carbo Ceramics,65.31,66.76,64.55,66.75,3.27,5.15,372651,78.98,31.52,0.72,1.08,27.81,-2.08
CAH,Cardinal Health,33.32,33.66,33.07,33.66,0.86,2.62,2287743,36.66,20.8,0.78,2.32,18.49,4.4
CRE,Care Investment Trust,8.72,8.74,8.65,8.73,0.04,0.46,32200,9.02,5.02,0.68,,,12.21
CFN,CareFusion,25.12,25.58,24.93,25.58,0.85,3.44,906331,30.08,17.25,,,43.36,2.28
CSL,Carlisle,38.5,39.49,38.49,39.49,1.45,3.81,299253,41.74,22.23,0.64,1.62,14.96,15.27
KMX,CarMax,22.03,22.35,21.77,22.29,0.82,3.82,2058474,26.5,10.02,,,17.83,-8.08
CCL,Carnival,35.94,36.82,35.62,36.78,1.82,5.21,5570433,44.21,22.18,0.2,,19.36,16.06
CUK,Carnival ADS,37.5,38.52,37.28,38.51,2.11,5.8,226463,45.79,23.45,0.2,,21.51,14.41
CRS,Carpenter Technology,38.68,39.82,38.49,39.82,2.29,6.1,571485,43.24,16.29,0.72,1.81,,47.76
CSV,Carriage Services,4.7,5.1,4.68,4.7,0.09,1.95,152742,5.18,2.62,,,11.19,19.59
CRI,Carters,30.87,31.54,30.52,31.49,1.25,4.13,486419,34.24,19.17,,,13.12,19.96
CASC,Cascade,34.08,35.18,33.41,34.99,2.3,7.04,28037,40.71,15.11,0.08,0.23,,27.28
HOO,Cascal,6.63,6.63,6.56,6.58,-0.01,-0.15,56879,7.82,3.11,0.09,,10.28,21.63
CSH,Cash America International,36.19,37.32,35.89,37.25,1.71,4.81,310669,42.35,20.86,0.14,0.38,11.05,6.55
CAS,A.M. Castle,14.76,15.32,14.59,15.05,0.86,6.06,276675,19.29,8.74,0.24,,,9.93
CAT,Caterpillar Inc.,61.36,62.12,60.82,62.06,2.33,3.9,9439381,72.83,30.01,1.68,2.71,31.83,8.9
CATO,Cato Cl A,24.2,24.25,23.89,24.2,0.48,2.02,208440,25.63,15.27,0.74,3.06,12.94,20.64
FUN,Cedar Fair,12.78,13.05,12.78,12.96,0.26,2.05,79775,15.79,6.03,1,,20.57,13.58
CDR,Cedar Shopping Centers,6.45,6.85,6.42,6.83,0.54,8.59,388007,8.39,3.8,0.18,,,0.44
CGI,Celadon Group,13.58,13.82,13.15,13.77,0.56,4.24,244862,15.99,7.42,,,153,26.91
CE,Celanese Series A,28.22,29.32,28.07,29.31,1.88,6.85,1204304,35.83,18.97,0.16,0.55,14.02,-8.69
CLS,Celestica,8.96,9.3,8.88,9.3,0.52,5.92,770594,11.34,5.93,,,35.77,-1.48
CEL,Cellcom Israel,26.43,27.35,26.43,27.32,1.22,4.67,342732,36.41,25.04,3.22,11.79,8.73,-14.78
CLU,Cellu Tissue Holdings,9.06,9.21,8.75,9.21,0.44,5.02,49434,12.57,8.33,,,41.86,
CX,Cemex ADS,10.88,11.21,10.82,11.21,0.69,6.56,15477068,14.59,7.62,,,33.97,-5.16
CVE,Cenovus Energy,25.15,26.57,25.05,26.5,2.02,8.25,1808461,30.66,22.87,0.4,,25.73,5.16
CNC,Centene,22.35,22.74,22.15,22.68,0.69,3.14,576601,25.95,16.89,,,11.81,7.13
CNP,CenterPoint Energy,13.31,13.54,13.28,13.52,0.37,2.81,2918071,14.9,5.54,0.78,5.77,12.29,-6.82
EBR,Centrais Eletricas Brasileiras ADS,12.39,12.56,12.3,12.52,0.54,4.51,642726,16.94,8.8,0.23,,,-15.93
CPF,Central Pacific Financial,2.36,2.55,2.33,2.52,0.2,8.62,555369,6.96,0.79,0.4,,,92.37
CV,Central Vermont Public Service,20.18,20.35,19.78,20.34,0.59,2.99,66275,22.83,15.83,0.92,4.52,13.47,-2.21
CTL,CenturyTel,34.22,34.5,34.11,34.5,0.76,2.25,2497129,37.16,13.4,2.9,8.41,12.15,-4.72
CVO,Cenveo,7.25,7.63,7.25,7.62,0.58,8.24,343914,11.65,3.6,,,,-12.91
CCU,Compania Cervecerias Unidas ADS,39.9,41.19,39.9,41.13,1.69,4.28,114365,43.5,31.5,1.94,4.72,12.69,5.41
CGV,CGG Veritas ADS,23.6,24.03,23.16,23.99,1.55,6.91,133476,33.39,14.97,,,,12.89
CRL,Charles River Laboratories International,32.29,33.38,32.17,33.32,1.38,4.32,1170036,41.65,26.82,,,21.22,-1.1
CLDT,Chatham Lodging Trust,18.05,18.08,17.61,17.96,-0.11,-0.61,48135,20.7,17.47,,,,
CKP,Checkpoint Systems,18.97,19.94,18.95,19.91,1.32,7.1,181883,23.92,13.32,,,25.2,30.56
CHE,Chemed,57.92,58.1,57.12,57.75,0.69,1.21,283566,58.6,36.11,0.48,0.83,17.82,20.39
CPC,Chemspec International ADS,7.49,7.52,7.23,7.52,0.15,2.04,33965,10.5,5.2,0.18,,10.9,14.28
CHK,Chesapeake Energy,21.6,22.25,21.55,22.22,1.06,5.01,13924362,30,16.92,0.3,1.35,22.91,-14.14
CHSP,Chesapeake Lodging Trust,17.63,17.82,17.4,17.76,0.32,1.83,42758,20.09,17.29,,,,
CPK,Chesapeake Utilities,30.04,30.31,29.52,30.2,0.65,2.2,36465,35,28.01,1.32,4.37,12.96,-5.77
CVX,Chevron,73.13,74.36,72.3,74.36,2.81,3.93,15250131,83.41,60.88,2.88,3.87,11.28,-3.42
CBI,Chicago Bridge&Iron,19.15,19.92,18.9,19.89,1.48,8.04,1540120,25.88,9.07,,,11.7,-1.63
CHS,Chico's Fas,12.29,12.47,12.12,12.45,0.51,4.27,5931604,16.57,8.29,0.08,,24.9,-11.39
CIM,Chimera Investment,3.87,3.93,3.81,3.93,0.16,4.24,11223511,4.36,3,0.46,11.7,5.95,1.29
CO,China Cord Blood,5.81,5.9,5.8,5.8,0.05,0.87,23588,6.75,5,,,,-10.77
STV,China Digital TV Holding ADS,5.69,5.92,5.47,5.92,0.38,6.86,137912,10.5,5.3,1,,14.8,-2.79
DL,China Distance Education Holdings ADS,4.35,4.48,4.16,4.47,0.09,1.94,14755,8.9,4.16,,,,-29.97
CEA,China Eastern Airlines ADS,41.67,43.27,41.67,43.13,2.69,6.65,28619,57.1,19.25,,,30.81,22.81
CEU,China Education Alliance,4.33,4.4,4.22,4.37,0.2,4.8,63240,7.48,3.72,,,7.8,-28.59
CGA,China Green Agriculture,11.39,11.56,11.03,11.21,0.14,1.26,767103,18.7,6.25,,,12.6,-23.74
CHC,China Hydroelectric ADS,7.74,7.93,7.51,7.72,0.17,2.25,9650,14.25,7.14,,,,
CHC%,China Hydroelectric Wt,0.55,0.55,0.55,0.55,,,200,1.54,0.35,,,,
LFC,China Life Insurance ADS,64.73,66.01,64.12,66.01,2.71,4.28,1008537,81,52.31,1.54,,23.08,-10.01
CMM,China Mass Media ADS,2.04,2.1,1.95,2.09,0.14,7.18,291810,6.85,1.86,,,3.54,-20.53
CHL,China Mobile ADS,46.66,47.42,46.51,47.39,1.12,2.42,1791951,59.22,44.36,1.81,,11.42,2.07
NPD,China Nepstar Chain Drugstore ADS,3.94,3.97,3.79,3.88,-0.01,-0.26,320975,11.93,3.79,1.78,,25.87,-46.78
SNP,China Petroleum&Chemical ADS,78.17,80.08,77.99,80.06,3.55,4.64,354671,94,70,2.64,,7.21,-9.1
CSR,China Security&Surveillance Technology,4.53,4.95,4.5,4.91,0.56,12.87,3526348,10.24,4.09,,,5.11,-35.73
ZNH,China Southern Airlines ADS,21.3,22.3,21.3,22.15,2.13,10.64,66744,26.47,12.39,,,65.15,43.64
CHA,China Telecom ADS,45.51,46.67,45.43,46.6,1.91,4.27,222052,56.41,40.28,1.1,2.36,18.2,12.51
CHU,China Unicom (Hong Kong) ADS,11.77,12,11.7,11.99,0.11,0.93,2338987,15.95,10.34,0.23,1.92,27.88,-8.54
CYD,China Yuchai International,16.04,16.28,15.5,16.25,1.2,7.97,384260,21.68,6.6,0.35,,6.35,10.24
CMG,Chipotle Mexican Grill Cl,140.77,143.99,139.6,143.99,5.9,4.27,676355,148.87,76.75,,,33.1,63.33
CQB,Chiquita Brands International,12.14,12.34,11.9,12.33,0.49,4.14,814740,19.59,8.66,,,12.33,-31.65
CHH,Choice Hotels International,33.37,33.86,32.83,33.86,0.92,2.79,262525,39.74,23.59,0.74,2.19,21.99,6.95
CBK,Christopher&Banks,8.87,9.28,8.77,9.26,0.62,7.18,223367,11.6,4.88,0.24,2.59,,21.52
CB,Chubb,49.72,50.91,49.71,50.84,1.7,3.46,2725294,53.98,38.4,1.48,2.91,7.66,3.38
CHT,Chunghwa Telecom ADS,18.92,19.23,18.9,19.23,0.38,2.02,1214437,20.49,17.36,1.16,,12.65,-4.51
CHD,Church&Dwight,66.28,66.29,64.8,65.65,0.07,0.11,578212,69.95,49.27,0.56,0.85,18.09,8.6
CBR,Ciber,3.02,3.1,2.9,3.09,0.22,7.67,319403,4.5,2.78,,,15.45,-10.43
XEC,Cimarex Energy,69.95,72.46,69.43,72.45,4.84,7.16,1671721,73.24,25.06,0.32,0.44,329.32,36.78
CBB,Cincinnati Bell,3.09,3.21,3.01,3.17,0.15,4.97,1182911,3.74,2.5,,,9.06,-8.12
CNK,Cinemark Holdings,16.02,16.52,15.94,16.51,0.75,4.76,585191,19.8,9.5,0.72,4.36,16.03,14.89
CIR,Circor International,29.56,30.5,29.56,30.44,1.61,5.58,44280,36.4,21.73,0.15,0.49,507.33,20.89
C,Citigroup,4.03,4.07,3.98,4.02,0.16,4.15,752275258,5.43,2.55,0.04,,,21.45
CIA,Citizens Cl A,6.77,6.95,6.58,6.95,0.35,5.3,63245,7.49,5.5,,,26.73,6.43
CYN,City National,56.82,57.94,56.31,57.88,1.79,3.19,383000,64.3,32.57,0.4,0.69,90.44,26.93
CLC,Clarcor,36.45,37.07,36,37.01,1.34,3.76,305105,38.77,27.46,0.39,1.05,24.35,14.09
CLH,Clean Harbors,62.82,63.22,60.64,61.39,-0.68,-1.1,473002,70.5,48.87,,,38.85,2.99
CCO,Clear Channel Outdoor Holdings,9.02,9.61,8.96,9.59,0.73,8.24,505262,13.25,3.32,,,,-7.7
CLW,Clearwater Paper,58.72,62.21,58.72,62.17,4.42,7.65,94713,66.02,21.76,,,4.33,13.1
CNL,Cleco,26.25,26.45,26.06,26.45,0.58,2.24,428126,28.28,20.07,1,3.78,6.42,-3.22
CLF,Cliffs Natural Resources,55.81,57.7,54.75,57.69,4.43,8.32,9777239,76.17,19.44,0.56,0.97,24.24,25.17
CLX,Clorox,63.58,63.58,62.83,63.37,0.51,0.81,1362754,65.5,51,2.2,3.47,14.88,3.89
CLD,Cloud Peak Energy,14.25,15.05,14.18,15.03,0.98,6.98,523652,17.63,12.53,,,5.8,3.23
CXG,CNX Gas,38.24,38.79,38.22,38.22,-0.02,-0.05,2668215,38.79,23.62,,,37.47,29.47
COH,Coach Inc.,40.39,42,40.2,41.95,2.59,6.58,6634677,43.84,22.93,0.6,1.43,19.69,14.84
CIE,Cobalt International Energy,8.05,8.07,6.16,7.15,-0.76,-9.61,3674785,16.07,6.16,,,,-48.34
KO,Coca-Cola,50.61,51.25,50.26,51.23,1.15,2.3,11321269,59.45,46.36,1.76,3.44,16.85,-10.12
KOF,Coca-Cola Femsa ADS,65.93,68.4,65.93,68.4,2.97,4.54,58320,71.33,38.13,1.16,1.7,19.66,4.08
CCE,Coca-Cola Enterprises,25.34,26.6,25.34,26.58,1.57,6.28,7686016,28.93,16.01,0.36,1.35,17.04,25.38
CCH,Coca-Cola Hellenic Bottling ADS,22.5,23.25,22.5,22.91,0.81,3.67,25157,28.48,16.88,2.23,9.73,14.69,-0.48
CDE,Coeur d'Alene Mines,15.3,15.54,15.15,15.48,0.55,3.68,2195518,24.86,10.02,,,,-14.29
